                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96868,                 1.8823,                  1.217,                0.65763,                0.63598,                0.65312,                0.43272,                 1.2578,                 2.7107,                  1.467,             0.00064865,             0.00064865,             0.00064865
                      2,                 1.2446,                 1.4962,                 1.4071,                0.43611,                0.44656,                0.39484,                0.18747,                 1.7865,                 4.9287,                 2.1717,              0.0011851,              0.0011851,              0.0011851
